Platz,Titel,Interpret,Vorw.,Differenz
1,Stargazing,Myles Smith,,
2,Austin (Boots Stop Workin'),Dasha,,
3,Feels Like I'm Falling In Love,Coldplay,,
4,Flashback,ÁSDÍS,,
5,I Don't Wanna Wait,David Guetta x OneRepublic,,
6,Fortnight,Taylor Swift feat. Post Malone,,
7,Belong Together,Mark Ambor,,
8,Shut Up And Dance,Sophie and the Giants,,
9,Espresso,Sabrina Carpenter,,
10,Fire,Meduza x OneRepublic x Leony,,
11,Beautiful Reason,Michael Schulte,,
12,Out My Head,Topic x A7S,,
13,A Bar Song (Tipsy),Shaboozey,,
14,So Good,Kamrad,,
15,Head Down,Lost Frequencies x Bastille,,
16,All In,YouNotUs x Laurell,,
17,Illusion,Dua Lipa,,
18,Glow In The Dark,Tom Gregory,,
19,The Way I Want It,Loi,,
20,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
21,Te Imaginaba,Alvaro Soler,,
22,Stumblin' In,Cyril,,
23,Too Sweet,Hozier,,
24,Simple Life,Leony,,
25,Never Be Lonely,Jax Jones x Zoe Wees,,
26,Piano,Kelvin Jones,,
27,Whatever,Kygo x Ava Max,,
28,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
29,Heard It All,Iggi Kelly,,
30,Summer's Back,Alok x Jess Glynne,,
31,Magic Moment,Glockenbach x Chris de Sarandy,,
32,Always On The Run,Isaak,,
33,Woman's World,Katy Perry,,
34,Love U Again,ClockClock,,
35,Promise,Malik Harris,,
36,Roots,Calum Scott,,
37,My Oh My,Ava Max,,
38,Loyal To Myself,Lena,,
39,Sleep Alone,Iggi Kelly,,
40,Gimme Your Hand,Samu Haber,,
