Platz,Titel,Interpret,Vorw.,Differenz
1,Feels Like I'm Falling In Love,Coldplay,,
2,Shut Up And Dance,Sophie and the Giants,,
3,Beautiful Reason,Michael Schulte,,
4,Austin (Boots Stop Workin'),Dasha,,
5,Stargazing,Myles Smith,,
6,All In,YouNotUs x Laurell,,
7,Espresso,Sabrina Carpenter,,
8,The Way I Want It,Loi,,
9,Belong Together,Mark Ambor,,
10,Summer's Back,Alok x Jess Glynne,,
11,Flashback,ÁSDÍS,,
12,So Good,Kamrad,,
13,I Don't Wanna Wait,David Guetta x OneRepublic,,
14,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
15,A Bar Song (Tipsy),Shaboozey,,
16,Woman's World,Katy Perry,,
17,Wave,Fast Boy x Raf,,
18,Simple Life,Leony,,
19,Glow In The Dark,Tom Gregory,,
20,Too Sweet,Hozier,,
21,Illusion,Dua Lipa,,
22,Fortnight,Taylor Swift feat. Post Malone,,
23,Te Imaginaba,Alvaro Soler,,
24,Birds Of A Feather,Billie Eilish,,
25,Head Down,Lost Frequencies x Bastille,,
26,Out My Head,Topic x A7S,,
27,Promise,Malik Harris,,
28,Piano,Kelvin Jones,,
29,Roots,Calum Scott,,
30,Better Days,Glockenbach feat. Declan J Donovan,,
31,Only Way Is Up,Robin Schulz feat. Izzy Bizu,,
32,Human Being,Nico Santos,,
33,Fire,Meduza x OneRepublic x Leony,,
34,I Can Do It With A Broken Heart,Taylor Swift,,
35,Stumblin' In,Cyril,,
36,Tears To Stay,Ray Dalton,,
37,Magic Moment,Glockenbach x Chris de Sarandy,,
38,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
39,Blood Sweat Tears,Riku Rajamaa,,
40,Whatever,Kygo x Ava Max,,
