Platz,Titel,Interpret,Vorw.,Differenz
40,Wreck,Tom Gregory,,
39,Traitor,Zoe Wees,,
38,Why Why Why,Shawn Mendes,,
37,Stargazing,Myles Smith,,
36,By Your Side (In My Mind),Leony,,
35,Houdini,Eminem,,
34,Left In Your Love,Loi,,
33,The Emptiness Machine,Linkin Park,,
32,Walk With Me,Felix Jaehn x Shouse,,
31,Belong Together,Mark Ambor,,
30,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
29,Too Sweet,Hozier,,
28,Nice To Meet You,Myles Smith,,
27,Shut Up And Dance,Sophie and the Giants,,
26,Halo,Rea Garvey,,
25,2 Hands,Tate McRae,,
24,The Way I Want It,Loi,,
23,That's So True,Gracie Abrams,,
22,Taste,Sabrina Carpenter,,
21,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
20,Austin (Boots Stop Workin'),Dasha,,
19,All My Life,Purple Disco Machine x The Magician,,
18,Touch Me,ÁSDÍS,,
17,Thee Unknown,Ray Dalton,,
16,Dancing In The Flames,The Weeknd,,
15,Human Being,Nico Santos,,
14,Stars Will Align,Kygo x Imagine Dragons,,
13,Spot A Fake,Ava Max,,
12,Bad Dreams,Teddy Swims,,
11,Better Days,Glockenbach feat. Declan J Donovan,,
10,Love Is The Only Thing,Lost Frequencies,,
9,Friends,Kamrad,,
8,A Bar Song (Tipsy),Shaboozey,,
7,Broken Sunshine,Michael Schulte,,
6,Wave,Fast Boy x Raf,,
5,Forbidden Road,Robbie Williams,,
4,Someday Soon,ClockClock,,
3,Forever Young,David Guetta x Alphaville x Ava Max,,
2,Rock N Roll,Leony x G-Eazy,,
1,Ray Of Light,Nico Santos,,
