Platz,Titel,Interpret,Vorw.,Differenz
1,Wave,Fast Boy x Raf,,
2,Human Being,Nico Santos,,
3,Woman's World,Katy Perry,,
4,Why Why Why,Shawn Mendes,,
5,Belong Together,Mark Ambor,,
6,Someday Soon,ClockClock,,
7,Feels Like I'm Falling In Love,Coldplay,,
8,Austin (Boots Stop Workin'),Dasha,,
9,Halo,Rea Garvey,,
10,Roots,Calum Scott,,
11,Birds Of A Feather,Billie Eilish,,
12,Better Days,Glockenbach feat. Declan J Donovan,,
13,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
14,Te Imaginaba,Alvaro Soler,,
15,Shut Up And Dance,Sophie and the Giants,,
16,Dancing In The Flames,The Weeknd,,
17,All In,YouNotUs x Laurell,,
18,Beautiful Reason,Michael Schulte,,
19,Blood Sweat Tears,Riku Rajamaa,,
20,Summer's Back,Alok x Jess Glynne,,
21,A Bar Song (Tipsy),Shaboozey,,
22,The Way I Want It,Loi,,
23,Tears To Stay,Ray Dalton,,
24,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
25,Good Luck Babe!,Chappel Roan,,
26,Stargazing,Myles Smith,,
27,Espresso,Sabrina Carpenter,,
28,Taste,Sabrina Carpenter,,
29,Friends,Kamrad,,
30,Die With A Smile,Lady Gaga & Bruno Mars,,
31,I Like The Way You Kiss Me,Artemas,,
32,All Night,R3hab & Sophie and the Giants,,
33,Glow In The Dark,Tom Gregory,,
34,Fortnight,Taylor Swift feat. Post Malone,,
35,Spot A Fake,Ava Max,,
36,Sink Or Swim,OneRepublic,,
37,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
38,Flashback,ÁSDÍS,,
39,Apple,Charli XCX,,
40,I Don't Wanna Wait,David Guetta x OneRepublic,,
