Platz,Titel,Interpret,Vorw.,Differenz
1,Greedy,Tate McRae,,
2,Gimme Love,Sia,,
3,Houdini,Dua Lipa,,
4,Better Me,Michael Schulte x R3hab,,
5,Strangers,Kenya Grace,,
6,Overdrive,Ofenbach feat. Norma Jean Martini,,
7,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
8,The Feeling,Lost Frequencies,,
9,Lifeline,Glockenbach x Ella Henderson,,
10,Angel Eyes,ÁSDÍS,,
11,Cruel Summer,Taylor Swift,,
12,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
13,Sticks & Stones,Malik Harris,,
14,Dreaming,Marshmello x P!nk x Sting,,
15,Paradise,Sophie and The Giants x Purple Disco Machine,,
16,Blindside,James Arthur,,
17,Where You Are,Fast Boy x Nico Santos,,
18,I Hope You End Up Alone (With Me),Kamrad,,
19,Seasons,Thirty Seconds To Mars,,
20,Runaway,P!nk,,
21,Perfect In My Eyes,Rea Garvey,,
22,Runaway,OneRepublic,,
23,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
24,Past Life,Felix Jaehn & Jonas Blue,,
25,Am I Enough,Loi,,
26,Single Soon,Selena Gomez,,
27,O.K.O,Michael Patrick Kelly,,
28,Wanna Dance,Alle Farben & James Carter & VARGEN,,
29,Free Like The Ocean,Rea Garvey,,
30,Straitjacket,Lena,,
31,American Town,Ed Sheeran,,
32,Lay Low,Tiësto,,
33,Crazy Again,Gossip,,
34,Dive,Lost Frequencies & Tom Gregory,,
35,Changes,Nico Santos & ClockClock,,
36,Lightning,Zoe Wees,,
37,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
38,Alive,Toby Romeo x Declan J Donovan,,
39,Is It Over Now? (Taylor's Version),Taylor Swift,,
40,Better Place,*NSYNC x Justin Timberlake,,
