Platz,Titel,Interpret,Vorw.,Differenz
1,Greedy,Tate McRae,,
2,The Feeling,Lost Frequencies,,
3,Better Me,Michael Schulte x R3hab,,
4,Lifeline,Glockenbach x Ella Henderson,,
5,Strangers,Kenya Grace,,
6,I Hope You End Up Alone (With Me),Kamrad,,
7,Cruel Summer,Taylor Swift,,
8,Seasons,Thirty Seconds To Mars,,
9,Angel Eyes,ÁSDÍS,,
10,Single Soon,Selena Gomez,,
11,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
12,Runaway,OneRepublic,,
13,Gimme Love,Sia,,
14,Overdrive,Ofenbach feat. Norma Jean Martini,,
15,Paradise,Sophie and The Giants x Purple Disco Machine,,
16,Runaway,P!nk,,
17,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
18,Blindside,James Arthur,,
19,Lightning,Zoe Wees,,
20,Free Like The Ocean,Rea Garvey,,
21,Changes,Nico Santos & ClockClock,,
22,Used To Be Young,Miley Cyrus,,
23,Dreaming,Marshmello x P!nk x Sting,,
24,Sticks & Stones,Malik Harris,,
25,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
26,Past Life,Felix Jaehn & Jonas Blue,,
27,O.K.O,Michael Patrick Kelly,,
28,Dive,Lost Frequencies & Tom Gregory,,
29,Where You Are,Fast Boy x Nico Santos,,
30,American Town,Ed Sheeran,,
31,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
32,Waterfall,Michael Schulte x R3hab,,
33,Jaded,Miley Cyrus,,
34,Lay Low,Tiësto,,
35,Alive,Toby Romeo x Declan J Donovan,,
36,Better Place,*NSYNC x Justin Timberlake,,
37,Somebody Like You,Giant Rooks,,
38,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
39,Miracle,Tors,,
40,Dance The Night,Dua Lipa,,
