Platz,Titel,Interpret,Vorw.,Differenz
1,Houdini,Dua Lipa,,
2,Overdrive,Ofenbach feat. Norma Jean Martine,,
3,Gimme Love,Sia,,
4,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
5,Greedy,Tate McRae,,
6,Where You Are,Fast Boy x Nico Santos,,
7,Am I Enough,Loi,,
8,Dreaming,Marshmello x P!nk x Sting,,
9,Angel Eyes,ÁSDÍS,,
10,Sticks & Stones,Malik Harris,,
11,Lifeline,Glockenbach x Ella Henderson,,
12,Better Me,Michael Schulte x R3hab,,
13,Strangers,Kenya Grace,,
14,Cruel Summer,Taylor Swift,,
15,Perfect In My Eyes,Rea Garvey,,
16,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
17,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
18,Blindside,James Arthur,,
19,American Town,Ed Sheeran,,
20,The Feeling,Lost Frequencies,,
21,Know That You're Not Alone,Catburns,,
22,Is It Over Now? (Taylor's Version),Taylor Swift,,
23,Straitjacket,Lena,,
24,Seasons,Thirty Seconds To Mars,,
25,Paradise,Sophie and The Giants x Purple Disco Machine,,
26,Runaway,P!nk,,
27,Wanna Dance,Alle Farben & James Carter & VARGEN,,
28,Crazy Again,Gossip,,
29,I Hope You End Up Alone (With Me),Kamrad,,
30,Stay (Never Leave),Kris Kross Amsterdam x SERA x Conor Maynard,,
31,Single Soon,Selena Gomez,,
32,Dive,Lost Frequencies & Tom Gregory,,
33,Lightning,Zoe Wees,,
34,Runaway,OneRepublic,,
35,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
36,What Just Happened,The Kid Laroi,,
37,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
38,Free Like The Ocean,Rea Garvey,,
39,Somebody Like You,Giant Rooks,,
40,Lay Low,Tiësto,,
