Platz,Titel,Interpret,Vorw.,Differenz
1,Espresso,Sabrina Carpenter,,
2,Belong Together,Mark Ambor,,
3,Illusion,Dua Lipa,,
4,I Don't Wanna Wait,David Guetta x OneRepublic,,
5,Austin (Boots Stop Workin'),Dasha,,
6,Stargazing,Myles Smith,,
7,Fire,Meduza x OneRepublic x Leony,,
8,Flashback,ÁSDÍS,,
9,Stumblin' In,Cyril,,
10,Fortnight,Taylor Swift feat. Post Malone,,
11,So Good,Kamrad,,
12,Head Down,Lost Frequencies x Bastille,,
13,Too Sweet,Hozier,,
14,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
15,A Bar Song (Tipsy),Shaboozey,,
16,Simple Life,Leony,,
17,Never Be Lonely,Jax Jones x Zoe Wees,,
18,Always On The Run,Isaak,,
19,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
20,Whatever,Kygo x Ava Max,,
21,Love U Again,ClockClock,,
22,Piano,Kelvin Jones,,
23,Loyal To Myself,Lena,,
24,Feels Like I'm Falling In Love,Coldplay,,
25,Electricity,Fast Boy x R3hab,,
26,Lunch,Billie Eilish,,
27,Magic Moment,Glockenbach x Chris de Sarandy,,
28,Beautiful Reason,Michael Schulte,,
29,Shut Up And Dance,Sophie and the Giants,,
30,Heard It All,Iggi Kelly,,
31,Out My Head,Topic x A7S,,
32,The Way I Want It,Loi,,
33,Gimme Your Hand,Samu Haber,,
34,My Oh My,Ava Max,,
35,Te Imaginaba,Alvaro Soler,,
36,Memory Lane,Zara Larsson,,
37,Overdrive,Ofenbach feat. Norma Jean Martini,,
38,All In,YouNotUs x Laurell,,
39,Promise,Malik Harris,,
40,We Can't Be Friends (Wait For Your Love),Ariana Grande,,
