Platz,Titel,Interpret,Vorw.,Differenz
1,Stumblin' In,Cyril,,
2,Head Down,Lost Frequencies x Bastille,,
3,Selfish,Justin Timberlake,,
4,Houdini,Dua Lipa,,
5,Strangers,Kenya Grace,,
6,Am I Enough,Loi,,
7,Whatever,Kygo x Ava Max,,
8,Lose Control,Teddy Swims,,
9,Overdrive,Ofenbach feat. Norma Jean Martini,,
10,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
11,Yes And?,Ariana Grande,,
12,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
13,Waking Up,Felix Jaehn & Leony,,
14,Is It Over Now? (Taylor's Version),Taylor Swift,,
15,All We Got,Ray Dalton,,
16,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
17,Gimme Love,Sia,,
18,Where You Are,Fast Boy x Nico Santos,,
19,Greedy,Tate McRae,,
20,Know That You're Not Alone,Catburns,,
21,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
22,Sticks & Stones,Malik Harris,,
23,Memory Lane,Zara Larsson,,
24,Training Season,Dua Lipa,,
25,Heard It All,Iggi Kelly,,
26,Can't Get Enough,Jennifer Lopez,,
27,Beautiful Things,Benson Boone,,
28,Dreaming,Marshmello x P!nk x Sting,,
29,Bitter Sweet Love,James Arthur,,
30,Better Me,Michael Schulte x R3hab,,
31,Never Be Lonely,Jax Jones x Zoe Wees,,
32,What Just Happened,The Kid Laroi,,
33,Hungry Heart,Declan J Donovan,,
34,Perfect In My Eyes,Rea Garvey,,
35,Always On The Run,Isaak,,
36,Head Underwater,Tom Walker,,
37,Cruel Summer,Taylor Swift,,
38,Pink Skies,Giant Rooks,,
39,All Night Long,Kungs x David Guetta & Izzy Bizu,,
40,Angel Eyes,ÁSDÍS,,
