Platz,Titel,Interpret,Vorw.,Differenz
1,Head Down,Lost Frequencies x Bastille,,
2,Strangers,Kenya Grace,,
3,Stumblin' In,Cyril,,
4,Am I Enough,Loi,,
5,Overdrive,Ofenbach feat. Norma Jean Martini,,
6,Houdini,Dua Lipa,,
7,Selfish,Justin Timberlake,,
8,Whatever,Kygo x Ava Max,,
9,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
10,Gimme Love,Sia,,
11,Yes And?,Ariana Grande,,
12,Lose Control,Teddy Swims,,
13,Is It Over Now? (Taylor's Version),Taylor Swift,,
14,Where You Are,Fast Boy x Nico Santos,,
15,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
16,Greedy,Tate McRae,,
17,What Just Happened,The Kid Laroi,,
18,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
19,Waking Up,Felix Jaehn & Leony,,
20,Know That You're Not Alone,Catburns,,
21,All We Got,Ray Dalton,,
22,Memory Lane,Zara Larsson,,
23,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
24,Dreaming,Marshmello x P!nk x Sting,,
25,Sticks & Stones,Malik Harris,,
26,Heard It All,Iggi Kelly,,
27,Better Me,Michael Schulte x R3hab,,
28,Perfect In My Eyes,Rea Garvey,,
29,Can't Get Enough,Jennifer Lopez,,
30,Bitter Sweet Love,James Arthur,,
31,Cruel Summer,Taylor Swift,,
32,Beautiful Things,Benson Boone,,
33,Body Moving,Eliza Rose x Calvin Harris,,
34,Hungry Heart,Declan J Donovan,,
35,Single Soon,Selena Gomez,,
36,Pink Skies,Giant Rooks,,
37,The Feeling,Lost Frequencies,,
38,Lifeline,Glockenbach x Ella Henderson,,
39,Angel Eyes,ÁSDÍS,,
40,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
