Platz,Titel,Interpret,Vorw.,Differenz
1,Lifeline,Glockenbach x Ella Henderson,,
2,Cruel Summer,Taylor Swift,,
3,Changes,Nico Santos & ClockClock,,
4,Angel Eyes,ÁSDÍS,,
5,The Feeling,Lost Frequencies,,
6,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
7,Seasons,Thirty Seconds To Mars,,
8,Better Me,Michael Schulte x R3hab,,
9,Runaway,OneRepublic,,
10,Paradise,Sophie and The Giants x Purple Disco Machine,,
11,Runaway,P!nk,,
12,Single Soon,Selena Gomez,,
13,Blindside,James Arthur,,
14,Strangers,Kenya Grace,,
15,I Hope You End Up Alone (With Me),Kamrad,,
16,Coming Home,YouNotUs x Shift K3Y feat. Norma Jean Martine,,
17,Waterfall,Michael Schulte x R3hab,,
18,Jaded,Miley Cyrus,,
19,Gimme Love,Sia,,
20,Me And My Guitar,Jax Jones x Fireboy DML,,
21,Free Like The Ocean,Rea Garvey,,
22,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
23,Over,ClockClock,,
24,Somebody Like You,Giant Rooks,,
25,What I Want,Lena,,
26,Dance The Night,Dua Lipa,,
27,Dive,Lost Frequencies & Tom Gregory,,
28,Jump!,Only the Poets,,
29,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
30,Used To Be Young,Miley Cyrus,,
31,Holding On,Leony,,
32,Runaway,Fred Roberts,,
33,Lightning,Zoe Wees,,
34,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
35,Good Life,Fast Boy,,
36,Lay Low,Tiësto,,
37,Chemical,Post Malone,,
38,O.K.O,Michael Patrick Kelly,,
39,What It Feels Like,Toby Romeo x YouNotUs,,
40,Do It Again,Ray Dalton,,
