Platz,Titel,Interpret,Vorw.,Differenz
1,Lifeline,Glockenbach x Ella Henderson,,
2,Seasons,Thirty Seconds To Mars,,
3,Angel Eyes,ÁSDÍS,,
4,Better Me,Michael Schulte x R3hab,,
5,Single Soon,Selena Gomez,,
6,Cruel Summer,Taylor Swift,,
7,The Feeling,Lost Frequencies,,
8,Runaway,P!nk,,
9,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
10,Strangers,Kenya Grace,,
11,Changes,Nico Santos & ClockClock,,
12,Blindside,James Arthur,,
13,Greedy,Tate McRae,,
14,Runaway,OneRepublic,,
15,Gimme Love,Sia,,
16,Free Like The Ocean,Rea Garvey,,
17,Paradise,Sophie and The Giants x Purple Disco Machine,,
18,I Hope You End Up Alone (With Me),Kamrad,,
19,Somebody Like You,Giant Rooks,,
20,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
21,Lightning,Zoe Wees,,
22,Dive,Lost Frequencies & Tom Gregory,,
23,Used To Be Young,Miley Cyrus,,
24,O.K.O,Michael Patrick Kelly,,
25,Coming Home,YouNotUs x Shift K3Y feat. Norma Jean Martine,,
26,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
27,Over,ClockClock,,
28,Dreaming,Marshmello x P!nk x Sting,,
29,Waterfall,Michael Schulte x R3hab,,
30,Dance The Night,Dua Lipa,,
31,Jump!,Only the Poets,,
32,What I Want,Lena,,
33,Me And My Guitar,Jax Jones x Fireboy DML,,
34,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
35,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
36,Lay Low,Tiësto,,
37,Jaded,Miley Cyrus,,
38,Good Life,Fast Boy,,
39,Holding On,Leony,,
40,Runaway,Fred Roberts,,
