Platz,Titel,Interpret,Vorw.,Differenz
40,Birds Of A Feather,Billie Eilish,,
39,Someone For Me,Kylie Minogue & YouNotUs,,
38,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
37,Traitor,Zoe Wees,,
36,Stargazing,Myles Smith,,
35,Halo,Rea Garvey,,
34,Belong Together,Mark Ambor,,
33,Shut Up And Dance,Sophie and the Giants,,
32,The Emptiness Machine,Linkin Park,,
31,By Your Side (In My Mind),Leony,,
30,Too Sweet,Hozier,,
29,Walk With Me,Felix Jaehn x Shouse,,
28,Left In Your Love,Loi,,
27,Houdini,Eminem,,
26,Taste,Sabrina Carpenter,,
25,The Way I Want It,Loi,,
24,Austin (Boots Stop Workin'),Dasha,,
23,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
22,Nice To Meet You,Myles Smith,,
21,Dancing In The Flames,The Weeknd,,
20,2 Hands,Tate McRae,,
19,Human Being,Nico Santos,,
18,That's So True,Gracie Abrams,,
17,All My Life,Purple Disco Machine x The Magician,,
16,Bad Dreams,Teddy Swims,,
15,Spot A Fake,Ava Max,,
14,Thee Unknown,Ray Dalton,,
13,Stars Will Align,Kygo x Imagine Dragons,,
12,Friends,Kamrad,,
11,Better Days,Glockenbach feat. Declan J Donovan,,
10,Touch Me,ÁSDÍS,,
9,Wave,Fast Boy x Raf,,
8,Broken Sunshine,Michael Schulte,,
7,Someday Soon,ClockClock,,
6,Forbidden Road,Robbie Williams,,
5,A Bar Song (Tipsy),Shaboozey,,
4,Love Is The Only Thing,Lost Frequencies,,
3,Rock N Roll,Leony x G-Eazy,,
2,Ray Of Light,Nico Santos,,
1,Forever Young,David Guetta x Alphaville x Ava Max,,
