Platz,Titel,Interpret,Vorw.,Diff.
1,Azizam,Ed Sheeran,,
2,Sorry I'm Here For Someone Else,Benson Boone,,
3,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
4,End Of The World,Miley Cyrus,,
5,Nice To Meet You,Myles Smith,,
6,Ordinary,Alex Warren,,
7,Million Good Reasons,Robin Schulz x Fast Boy,,
8,By Your Side (In My Mind),Leony,,
9,Abracadabra,Lady Gaga,,
10,Messy,Lola Young,,
11,Chasing Paradise,Kygo x OneRepublic,,
12,That's So True,Gracie Abrams,,
13,Anthem,Glockenbach feat. Norma Jean Martine,,
14,Slow Motion,Marshmello x  Jonas Brothers,,
15,Ray Of Light,Nico Santos,,
16,Forever Young,David Guetta x Alphaville x Ava Max,,
17,Broken Sunshine,Michael Schulte,,
18,Beautiful People,David Guetta & Sia,,
19,Show Me Love,WizTheMc,,
20,APT.,Rosé & Bruno Mars,,
21,Thee Unknown,Ray Dalton,,
22,A Bar Song (Tipsy),Shaboozey,,
23,Con Calma,Alvaro Soler,,
24,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
25,Bad Dreams,Teddy Swims,,
26,Afterlife,Michael Schulte,,
27,Touch Me,ÁSDÍS,,
28,Born Again ,Fast Boy & ClockClock,,
29,Anxiety,Doechii,,
30,Walk With Me,Felix Jaehn x Shouse,,
31,Glide,Neiked x Portugal The Man,,
32,Austin (Boots Stop Workin'),Dasha,,
33,Control Of Me,Topic x  Daecolm,,
34,Traitor,Zoe Wees,,
35,Blink Twice,Shaboozey feat. Myles Smith,,
36,Born Again ,Lisa x Doja Cat x Raye,,
37,Canyons,YouNotUs x Lavinia,,
38,The One,Michael Patrick Kelly,,
39,Busy Woman,Sabrina Carpenter,,
40,Dancing In The Flames,The Weeknd,,
