Platz,Titel,Interpret,Vorw.,Diff.
1,Chasing Paradise,Kygo x OneRepublic,,
2,Abracadabra,Lady Gaga,,
3,Azizam,Ed Sheeran,,
4,By Your Side (In My Mind),Leony,,
5,Million Good Reasons,Robin Schulz x Fast Boy,,
6,Nice To Meet You,Myles Smith,,
7,Messy,Lola Young,,
8,Slow Motion,Marshmello x  Jonas Brothers,,
9,Sorry I'm Here For Someone Else,Benson Boone,,
10,Forever Young,David Guetta x Alphaville x Ava Max,,
11,Ordinary,Alex Warren,,
12,Touch Me,ÁSDÍS,,
13,Ray Of Light,Nico Santos,,
14,That's So True,Gracie Abrams,,
15,Thee Unknown,Ray Dalton,,
16,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
17,Bad Dreams,Teddy Swims,,
18,Traitor,Zoe Wees,,
19,Dancing In The Flames,The Weeknd,,
20,Someday Soon,ClockClock,,
21,Better Days,Glockenbach feat. Declan J Donovan,,
22,Beautiful People,David Guetta & Sia,,
23,Broken Sunshine,Michael Schulte,,
24,End Of The World,Miley Cyrus,,
25,Wave,Fast Boy x Raf,,
26,APT.,Rosé & Bruno Mars,,
27,A Bar Song (Tipsy),Shaboozey,,
28,Con Calma,Alvaro Soler,,
29,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
30,Anthem,Glockenbach feat. Norma Jean Martine,,
31,Show Me Love,WizTheMc,,
32,Born Again ,Lisa x Doja Cat x Raye,,
33,Walk With Me,Felix Jaehn x Shouse,,
34,Castaways,Milow feat. Florence Arman,,
35,Lost Your Faith,Ava Max,,
36,Rock N Roll,Leony x G-Eazy,,
37,Left In Your Love,Loi,,
38,Austin (Boots Stop Workin'),Dasha,,
39,Afterlife,Michael Schulte,,
40,All My Life,Purple Disco Machine x The Magician,,
