Platz,Titel,Interpret,Vorw.,Differenz
1,Feels Like I'm Falling In Love,Coldplay,,
2,Austin (Boots Stop Workin'),Dasha,,
3,Beautiful Reason,Michael Schulte,,
4,Summer's Back,Alok x Jess Glynne,,
5,Stargazing,Myles Smith,,
6,Belong Together,Mark Ambor,,
7,Shut Up And Dance,Sophie and the Giants,,
8,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
9,All In,YouNotUs x Laurell,,
10,Espresso,Sabrina Carpenter,,
11,I Like The Way You Kiss Me,Artemas,,
12,I Don't Wanna Wait,David Guetta x OneRepublic,,
13,Woman's World,Katy Perry,,
14,Wave,Fast Boy x Raf,,
15,The Way I Want It,Loi,,
16,Glow In The Dark,Tom Gregory,,
17,Flashback,ÁSDÍS,,
18,Fortnight,Taylor Swift feat. Post Malone,,
19,So Good,Kamrad,,
20,Birds Of A Feather,Billie Eilish,,
21,Te Imaginaba,Alvaro Soler,,
22,A Bar Song (Tipsy),Shaboozey,,
23,Out My Head,Topic x A7S,,
24,Human Being,Nico Santos,,
25,Simple Life,Leony,,
26,Illusion,Dua Lipa,,
27,Roots,Calum Scott,,
28,Too Sweet,Hozier,,
29,Good Luck Babe!,Chappel Roan,,
30,Only Way Is Up,Robin Schulz feat. Izzy Bizu,,
31,Tears To Stay,Ray Dalton,,
32,Promise,Malik Harris,,
33,Better Days,Glockenbach feat. Declan J Donovan,,
34,Blood Sweat Tears,Riku Rajamaa,,
35,I Can Do It With A Broken Heart,Taylor Swift,,
36,Why Why Why,Shawn Mendes,,
37,Head Down,Lost Frequencies x Bastille,,
38,Fire,Meduza x OneRepublic x Leony,,
39,Piano,Kelvin Jones,,
40,Sleep Alone,Iggi Kelly,,
