Platz,Titel,Interpret,Vorw.,Differenz
1,Summer's Back,Alok x Jess Glynne,,
2,Austin (Boots Stop Workin'),Dasha,,
3,Feels Like I'm Falling In Love,Coldplay,,
4,Belong Together,Mark Ambor,,
5,Stargazing,Myles Smith,,
6,Woman's World,Katy Perry,,
7,Beautiful Reason,Michael Schulte,,
8,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
9,Shut Up And Dance,Sophie and the Giants,,
10,Te Imaginaba,Alvaro Soler,,
11,Wave,Fast Boy x Raf,,
12,Glow In The Dark,Tom Gregory,,
13,All In,YouNotUs x Laurell,,
14,I Like The Way You Kiss Me,Artemas,,
15,Birds Of A Feather,Billie Eilish,,
16,Human Being,Nico Santos,,
17,The Way I Want It,Loi,,
18,Good Luck Babe!,Chappel Roan,,
19,I Don't Wanna Wait,David Guetta x OneRepublic,,
20,A Bar Song (Tipsy),Shaboozey,,
21,Fortnight,Taylor Swift feat. Post Malone,,
22,Espresso,Sabrina Carpenter,,
23,Blood Sweat Tears,Riku Rajamaa,,
24,Roots,Calum Scott,,
25,Flashback,ÁSDÍS,,
26,Why Why Why,Shawn Mendes,,
27,Illusion,Dua Lipa,,
28,Someday Soon,ClockClock,,
29,Out My Head,Topic x A7S,,
30,So Good,Kamrad,,
31,Only Way Is Up,Robin Schulz feat. Izzy Bizu,,
32,Tears To Stay,Ray Dalton,,
33,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
34,Better Days,Glockenbach feat. Declan J Donovan,,
35,Too Sweet,Hozier,,
36,Sleep Alone,Iggi Kelly,,
37,I Can Do It With A Broken Heart,Taylor Swift,,
38,Promise,Malik Harris,,
39,Please Please Please,Sabrina Carpenter,,
40,Simple Life,Leony,,
