Platz,Titel,Interpret,Vorw.,Differenz
1,Overdrive,Ofenbach feat. Norma Jean Martini,,
2,Where You Are,Fast Boy x Nico Santos,,
3,Houdini,Dua Lipa,,
4,Am I Enough,Loi,,
5,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
6,Strangers,Kenya Grace,,
7,Dreaming,Marshmello x P!nk x Sting,,
8,Is It Over Now? (Taylor's Version),Taylor Swift,,
9,Gimme Love,Sia,,
10,Perfect In My Eyes,Rea Garvey,,
11,Lifeline,Glockenbach x Ella Henderson,,
12,Sticks & Stones,Malik Harris,,
13,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
14,Greedy,Tate McRae,,
15,Know That You're Not Alone,Catburns,,
16,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
17,Angel Eyes,ÁSDÍS,,
18,Blindside,James Arthur,,
19,Better Me,Michael Schulte x R3hab,,
20,Cruel Summer,Taylor Swift,,
21,The Feeling,Lost Frequencies,,
22,American Town,Ed Sheeran,,
23,Stay (Never Leave),Kris Kross Amsterdam x SERA x Conor Maynard,,
24,Single Soon,Selena Gomez,,
25,What Just Happened,The Kid Laroi,,
26,Head Down,Lost Frequencies x Bastille,,
27,Seasons,Thirty Seconds To Mars,,
28,Straitjacket,Lena,,
29,Body Moving,Eliza Rose x Calvin Harris,,
30,Waterfall,Michael Schulte x R3hab,,
31,Lightning,Zoe Wees,,
32,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
33,Runaway,P!nk,,
34,Exes,Tate McRae,,
35,Memory Lane,Zara Larsson,,
36,Somebody Like You,Giant Rooks,,
37,Free Like The Ocean,Rea Garvey,,
38,Crazy Again,Gossip,,
39,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
40,I Hope You End Up Alone (With Me),Kamrad,,
