Platz,Titel,Interpret,Vorw.,Diff.
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,Walk With Me,Felix Jaehn x Shouse,,
27,Rock N Roll,Leony x G-Eazy,,
28,,,,
29,Born Again ,Lisa x Doja Cat x Raye,,
30,Castaways,Milow feat. Florence Arman,,
31,End Of The World,Miley Cyrus,,
32,Left In Your Love,Loi,,
33,Austin (Boots Stop Workin'),Dasha,,
34,Love Is The Only Thing,Lost Frequencies,,
35,Control Of Me,Topic x  Daecolm,,
36,Con Calma,Alvaro Soler,,
37,Anthem,Glockenbach feat. Norma Jean Martine,,
38,Lost Your Faith,Ava Max,,
39,Guilty,Teddy Swims,,
40,APT.,Rosé & Bruno Mars,,
