Platz,Titel,Interpret,Vorw.,Differenz
1,Why Why Why,Shawn Mendes,,
2,Someday Soon,ClockClock,,
3,Wave,Fast Boy x Raf,,
4,Austin (Boots Stop Workin'),Dasha,,
5,Human Being,Nico Santos,,
6,Belong Together,Mark Ambor,,
7,Halo,Rea Garvey,,
8,Dancing In The Flames,The Weeknd,,
9,Woman's World,Katy Perry,,
10,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
11,Shut Up And Dance,Sophie and the Giants,,
12,Roots,Calum Scott,,
13,Birds Of A Feather,Billie Eilish,,
14,Better Days,Glockenbach feat. Declan J Donovan,,
15,Feels Like I'm Falling In Love,Coldplay ,,
16,Te Imaginaba,Alvaro Soler,,
17,A Bar Song (Tipsy),Shaboozey,,
18,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
19,Taste,Sabrina Carpenter,,
20,Blood Sweat Tears,Riku Rajamaa,,
21,All In,YouNotUs x Laurell,,
22,Summer's Back,Alok x Jess Glynne,,
23,Beautiful Reason,Michael Schulte,,
24,Friends,Kamrad,,
25,Tears To Stay,Ray Dalton,,
26,Spot A Fake,Ava Max,,
27,The Way I Want It,Loi,,
28,Die With A Smile,Lady Gaga & Bruno Mars,,
29,Stargazing,Myles Smith,,
30,All Night,R3hab & Sophie and the Giants,,
31,Bad Dreams,Teddy Swims,,
32,Good Luck, Babe!,Chappel Roan,,
33,Espresso,Sabrina Carpenter,,
34,Sink Or Swim,OneRepublic,,
35,Never Going Home Tonight,David Guetta & Alesso feat. Madison Love,,
36,I Like The Way You Kiss Me,Artemas,,
37,Flashback,ÁSDÍS,,
38,Glow In The Dark,Tom Gregory,,
39,Rain,Chris de Sarandy,,
40,Fortnight,Taylor Swift feat. Post Malone,,
