Platz,Titel,Interpret,Vorw.,Differenz
1,Stargazing,Myles Smith,,
2,I Don't Wanna Wait,David Guetta x OneRepublic,,
3,Flashback,ÁSDÍS,,
4,Feels Like I'm Falling In Love,Coldplay,,
5,Austin (Boots Stop Workin'),Dasha,,
6,Belong Together,Mark Ambor,,
7,Espresso,Sabrina Carpenter,,
8,Fire,Meduza x OneRepublic x Leony,,
9,So Good,Kamrad,,
10,Fortnight,Taylor Swift feat. Post Malone,,
11,A Bar Song (Tipsy),Shaboozey,,
12,Shut Up And Dance,Sophie and the Giants,,
13,Head Down,Lost Frequencies x Bastille,,
14,Beautiful Reason,Michael Schulte,,
15,Illusion,Dua Lipa,,
16,Out My Head,Topic x A7S,,
17,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
18,Piano,Kelvin Jones,,
19,Too Sweet,Hozier,,
20,Simple Life,Leony,,
21,Stumblin' In,Cyril,,
22,Glow In The Dark,Tom Gregory,,
23,Whatever,Kygo x Ava Max,,
24,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
25,Heard It All,Iggi Kelly,,
26,All In,YouNotUs x Laurell,,
27,Te Imaginaba,Alvaro Soler,,
28,Always On The Run,Isaak,,
29,Never Be Lonely,Jax Jones x Zoe Wees,,
30,Love U Again,ClockClock,,
31,The Way I Want It,Loi,,
32,Magic Moment,Glockenbach x Chris de Sarandy,,
33,Promise,Malik Harris,,
34,Summer's Back,Alok x Jess Glynne,,
35,My Oh My,Ava Max,,
36,Electricity,Fast Boy x R3hab,,
37,Loyal To Myself,Lena,,
38,Lunch,Billie Eilish,,
39,Gimme Your Hand,Samu Haber,,
40,Woman's World,Katy Perry,,
