Platz,Titel,Interpret,Vorw.,Diff.
1,Azizam,Ed Sheeran,,
2,End Of The World,Miley Cyrus,,
3,Sorry I'm Here For Someone Else,Benson Boone,,
4,By Your Side (In My Mind),Leony,,
5,Ordinary,Alex Warren,,
6,Abracadabra,Lady Gaga,,
7,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
8,Nice To Meet You,Myles Smith,,
9,Million Good Reasons,Robin Schulz x Fast Boy,,
10,Messy,Lola Young,,
11,Anthem,Glockenbach feat. Norma Jean Martine,,
12,Slow Motion,Marshmello x  Jonas Brothers,,
13,Chasing Paradise,Kygo x OneRepublic,,
14,That's So True,Gracie Abrams,,
15,Thee Unknown,Ray Dalton,,
16,Beautiful People,David Guetta & Sia,,
17,Afterlife,Michael Schulte,,
18,Ray Of Light,Nico Santos,,
19,Con Calma,Alvaro Soler,,
20,Bad Dreams,Teddy Swims,,
21,APT.,Rosé & Bruno Mars,,
22,Anxiety,Doechii,,
23,A Bar Song (Tipsy),Shaboozey,,
24,Show Me Love,WizTheMc,,
25,Born Again ,Fast Boy & ClockClock,,
26,Glide,Neiked x Portugal The Man,,
27,Forever Young,David Guetta x Alphaville x Ava Max,,
28,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
29,Broken Sunshine,Michael Schulte,,
30,Canyons,YouNotUs x Lavinia,,
31,Touch Me,ÁSDÍS,,
32,Blink Twice,Shaboozey feat. Myles Smith,,
33,Walk With Me,Felix Jaehn x Shouse,,
34,Austin (Boots Stop Workin'),Dasha,,
35,Call Me When You Break Up,Selena Gomez x Benny Blanco x Gracie Abrams,,
36,The One,Michael Patrick Kelly,,
37,Control Of Me,Topic x  Daecolm,,
38,Dancing In The Flames,The Weeknd,,
39,Red Light,Sophie and the Giants,,
40,Traitor,Zoe Wees,,
