Platz,Titel,Interpret,Vorw.,Diff.
40,Halo,Rea Garvey,,
39,Million Good Reasons,Robin Schulz x Fast Boy,,
38,Taste,Sabrina Carpenter,,
37,Castaways,Milow feat. Florence Arman,,
36,All My Life,Purple Disco Machine x The Magician,,
35,Birds Of A Feather,Billie Eilish,,
34,Messy,Lola Young,,
33,Slow Motion,Marshmello x Jonas Brothers,,
32,Belong Together,Mark Ambor,,
31,Chasing Paradise,Kygo x OneRepublic,,
30,Friends,Kamrad,,
29,Traitor,Zoe Wees,,
28,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
27,APT.,Rosé & Bruno Mars,,
26,Too Sweet,Hozier,,
25,Stars Will Align,Kygo x Imagine Dragons,,
24,Walk With Me,Felix Jaehn x Shouse,,
23,Nice To Meet You,Myles Smith,,
22,Human Being,Nico Santos,,
21,Austin (Boots Stop Workin'),Dasha,,
20,The Emptiness Machine,Linkin Park,,
19,Left In Your Love,Loi,,
18,Houdini,Eminem,,
17,Dancing In The Flames,The Weeknd,,
16,By Your Side (In My Mind),Leony,,
15,Spot A Fake,Ava Max,,
14,Thee Unknown,Ray Dalton,,
13,Bad Dreams,Teddy Swims,,
12,Wave,Fast Boy x Raf,,
11,That's So True,Gracie Abrams,,
10,Better Days,Glockenbach feat. Declan J Donovan,,
9,Forbidden Road,Robbie Williams,,
8,Broken Sunshine,Michael Schulte,,
7,Love Is The Only Thing,Lost Frequencies,,
6,Rock N Roll,Leony x G-Eazy,,
5,Someday Soon,ClockClock,,
4,Ray Of Light,Nico Santos,,
3,Forever Young,David Guetta x Alphaville x Ava Max,,
2,A Bar Song (Tipsy),Shaboozey,,
1,Touch Me,ÁSDÍS,,
