Platz,Titel,Interpret,Vorw.,Differenz
1,Feels Like I'm Falling In Love,Coldplay,,
2,Shut Up And Dance,Sophie and the Giants,,
3,Austin (Boots Stop Workin'),Dasha,,
4,Stargazing,Myles Smith,,
5,Espresso,Sabrina Carpenter,,
6,Beautiful Reason,Michael Schulte,,
7,Flashback,ÁSDÍS,,
8,Belong Together,Mark Ambor,,
9,All In,YouNotUs x Laurell,,
10,The Way I Want It,Loi,,
11,So Good,Kamrad,,
12,I Don't Wanna Wait,David Guetta x OneRepublic,,
13,Summer's Back,Alok x Jess Glynne,,
14,Simple Life,Leony,,
15,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
16,Glow In The Dark,Tom Gregory,,
17,Illusion,Dua Lipa,,
18,A Bar Song (Tipsy),Shaboozey,,
19,Head Down,Lost Frequencies x Bastille,,
20,Fortnight,Taylor Swift feat. Post Malone,,
21,Wave,Fast Boy x Raf,,
22,Too Sweet,Hozier,,
23,Out My Head,Topic x A7S,,
24,Woman's World,Katy Perry,,
25,Piano,Kelvin Jones,,
26,Fire,Meduza x OneRepublic x Leony,,
27,Stumblin' In,Cyril,,
28,Birds Of A Feather,Billie Eilish,,
29,Te Imaginaba,Alvaro Soler,,
30,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
31,Roots,Calum Scott,,
32,Magic Moment,Glockenbach x Chris de Sarandy,,
33,Promise,Malik Harris,,
34,Never Be Lonely,Jax Jones x Zoe Wees,,
35,I Can Do It With A Broken Heart,Taylor Swift,,
36,Human Being,Nico Santos,,
37,Whatever,Kygo x Ava Max,,
38,Heard It All,Iggi Kelly,,
39,Better Days,Glockenbach feat. Declan J Donovan,,
40,Always On The Run,Isaak,,
