Platz,Titel,Interpret,Vorw.,Differenz
1,Lifeline,Glockenbach x Ella Henderson,,
2,Single Soon,Selena Gomez,,
3,Seasons,Thirty Seconds To Mars,,
4,The Feeling,Lost Frequencies,,
5,Strangers,Kenya Grace,,
6,Angel Eyes,ÁSDÍS,,
7,Better Me,Michael Schulte x R3hab,,
8,Greedy,Tate McRae,,
9,Cruel Summer,Taylor Swift,,
10,Changes,Nico Santos & ClockClock,,
11,Runaway,OneRepublic,,
12,Paradise,Sophie and The Giants x Purple Disco Machine,,
13,I Hope You End Up Alone (With Me),Kamrad,,
14,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
15,Runaway,P!nk,,
16,Blindside,James Arthur,,
17,Gimme Love,Sia,,
18,Free Like The Ocean,Rea Garvey,,
19,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
20,Used To Be Young,Miley Cyrus,,
21,Dive,Lost Frequencies & Tom Gregory,,
22,Lightning,Zoe Wees,,
23,Overdrive,Ofenbach feat. Norma Jean Martini,,
24,Coming Home,YouNotUs x Shift K3Y feat. Norma Jean Martine,,
25,Somebody Like You,Giant Rooks,,
26,O.K.O,Michael Patrick Kelly,,
27,Dreaming,Marshmello x P!nk x Sting,,
28,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
29,American Town,Ed Sheeran,,
30,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
31,Over,ClockClock,,
32,Sticks & Stones,Malik Harris,,
33,Dance The Night,Dua Lipa,,
34,Waterfall,Michael Schulte x R3hab,,
35,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
36,Jaded,Miley Cyrus,,
37,Me And My Guitar,Jax Jones x Fireboy DML,,
38,Jump!,Only the Poets,,
39,Lay Low,Tiësto,,
40,What I Want,Lena,,
