Platz,Titel,Interpret,Vorw.,Differenz
1,Am I Enough,Loi,,
2,Overdrive,Ofenbach feat. Norma Jean Martini,,
3,Is It Over Now? (Taylor's Version),Taylor Swift,,
4,Houdini,Dua Lipa,,
5,Head Down,Lost Frequencies x Bastille,,
6,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
7,Strangers,Kenya Grace,,
8,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
9,Perfect In My Eyes,Rea Garvey,,
10,Yes And?,Ariana Grande,,
11,Where You Are,Fast Boy x Nico Santos,,
12,Gimme Love,Sia,,
13,What Just Happened,The Kid Laroi,,
14,Dreaming,Marshmello x P!nk x Sting,,
15,Stumblin' In,Cyril,,
16,Know That You're Not Alone,Catburns,,
17,Blindside,James Arthur,,
18,Greedy,Tate McRae,,
19,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
20,Selfish,Justin Timberlake,,
21,Angel Eyes,ÁSDÍS,,
22,Body Moving,Eliza Rose x Calvin Harris,,
23,Better Me,Michael Schulte x R3hab,,
24,Whatever,Kygo x Ava Max,,
25,Sticks & Stones,Malik Harris,,
26,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
27,Lifeline,Glockenbach x Ella Henderson,,
28,All We Got,Ray Dalton,,
29,Cruel Summer,Taylor Swift,,
30,Waking Up,Felix Jaehn & Leony,,
31,Lose Control,Teddy Swims,,
32,Memory Lane,Zara Larsson,,
33,Seasons,Thirty Seconds To Mars,,
34,Runaway,P!nk,,
35,Pink Skies,Giant Rooks,,
36,The Feeling,Lost Frequencies,,
37,Can't Get Enough,Jennifer Lopez,,
38,Single Soon,Selena Gomez,,
39,American Town,Ed Sheeran,,
40,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
