Platz,Titel,Interpret,Vorw.,Differenz
1,Overdrive,Ofenbach feat. Norma Jean Martini,,
2,Am I Enough,Loi,,
3,Where You Are,Fast Boy x Nico Santos,,
4,Houdini,Dua Lipa,,
5,Is It Over Now? (Taylor's Version),Taylor Swift,,
6,Perfect In My Eyes,Rea Garvey,,
7,Strangers,Kenya Grace,,
8,Dreaming,Marshmello x P!nk x Sting,,
9,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
10,Know That You're Not Alone,Catburns,,
11,Gimme Love,Sia,,
12,Sticks & Stones,Malik Harris,,
13,Greedy,Tate McRae,,
14,Lifeline,Glockenbach x Ella Henderson,,
15,Angel Eyes,ÁSDÍS,,
16,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
17,Blindside,James Arthur,,
18,Better Me,Michael Schulte x R3hab,,
19,What Just Happened,The Kid Laroi,,
20,Head Down,Lost Frequencies x Bastille,,
21,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
22,Body Moving,Eliza Rose x Calvin Harris,,
23,Cruel Summer,Taylor Swift,,
24,Yes And?,Ariana Grande,,
25,Seasons,Thirty Seconds To Mars,,
26,Stay (Never Leave),Kris Kross Amsterdam x SERA x Conor Maynard,,
27,Runaway,P!nk,,
28,The Feeling,Lost Frequencies,,
29,Single Soon,Selena Gomez,,
30,Free Like The Ocean,Rea Garvey,,
31,Memory Lane,Zara Larsson,,
32,Waterfall,Michael Schulte x R3hab,,
33,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
34,American Town,Ed Sheeran,,
35,Straitjacket,Lena,,
36,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
37,Somebody Like You,Giant Rooks,,
38,I Hope You End Up Alone (With Me),Kamrad,,
39,Waking Up,Felix Jaehn & Leony,,
40,Lightning,Zoe Wees,,
