Platz,Titel,Interpret,Vorw.,Differenz
1,Birds Of A Feather,Billie Eilish,,
2,Wave,Fast Boy x Raf,,
3,Austin (Boots Stop Workin'),Dasha,,
4,Woman's World,Katy Perry,,
5,Te Imaginaba,Alvaro Soler,,
6,Feels Like I'm Falling In Love,Coldplay,,
7,Summer's Back,Alok x Jess Glynne,,
8,Human Being,Nico Santos,,
9,All In,YouNotUs x Laurell,,
10,Why Why Why,Shawn Mendes,,
11,Belong Together,Mark Ambor,,
12,Roots,Calum Scott,,
13,The Way I Want It,Loi,,
14,Blood Sweat Tears,Riku Rajamaa,,
15,Glow In The Dark,Tom Gregory,,
16,Shut Up And Dance,Sophie and the Giants,,
17,Someday Soon,ClockClock,,
18,Stargazing,Myles Smith,,
19,Beautiful Reason,Michael Schulte,,
20,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
21,I Like The Way You Kiss Me,Artemas,,
22,A Bar Song (Tipsy),Shaboozey,,
23,Good Luck Babe!,Chappel Roan,,
24,Tears To Stay,Ray Dalton,,
25,Better Days,Glockenbach feat. Declan J Donovan,,
26,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
27,Espresso,Sabrina Carpenter,,
28,Halo,Rea Garvey,,
29,Die With A Smile,Lady Gaga & Bruno Mars,,
30,Friends,Kamrad,,
31,Fortnight,Taylor Swift feat. Post Malone,,
32,I Don't Wanna Wait,David Guetta x OneRepublic,,
33,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
34,Flashback,ÁSDÍS,,
35,Dancing In The Flames,The Weeknd,,
36,All Night,R3hab & Sophie and the Giants,,
37,Too Sweet,Hozier,,
38,Illusion,Dua Lipa,,
39,Get Ready,SUPER-Hi x Neeka,,
40,Out My Head,Topic x A7S,,
