Platz,Titel,Interpret,Vorw.,Diff.
40,Birds Of A Feather,Billie Eilish,,
39,Rebellion,R3hab x Michael Patrick Kelly x Shaggy,,
38,Friends,Kamrad,,
37,Human Being,Nico Santos,,
36,Born Again ,Lisa x Doja Cat x Raye,,
35,Belong Together,Mark Ambor,,
34,Flowers ,Alle Farben x Graham Candy x Lahos,,
33,Castaways,Milow feat. Florence Arman,,
32,APT.,Rosé & Bruno Mars,,
31,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
30,Left In Your Love,Loi,,
29,Houdini,Eminem,,
28,All My Life,Purple Disco Machine x The Magician,,
27,Too Sweet,Hozier,,
26,Million Good Reasons,Robin Schulz x Fast Boy,,
25,Walk With Me,Felix Jaehn x Shouse,,
24,Slow Motion,Marshmello x Jonas Brothers,,
23,The Emptiness Machine,Linkin Park,,
22,Messy,Lola Young,,
21,Spot A Fake,Ava Max,,
20,Forbidden Road,Robbie Williams,,
19,Rock N Roll,Leony x G-Eazy,,
18,Traitor,Zoe Wees,,
17,Austin (Boots Stop Workin'),Dasha,,
16,Dancing In The Flames,The Weeknd,,
15,Thee Unknown,Ray Dalton,,
14,Someday Soon,ClockClock,,
13,Nice To Meet You,Myles Smith,,
12,Bad Dreams,Teddy Swims,,
11,Chasing Paradise,Kygo x OneRepublic,,
10,Wave,Fast Boy x Raf,,
9,Broken Sunshine,Michael Schulte,,
8,Love Is The Only Thing,Lost Frequencies,,
7,By Your Side (In My Mind),Leony,,
6,Better Days,Glockenbach feat. Declan J Donovan,,
5,That's So True,Gracie Abrams,,
4,A Bar Song (Tipsy),Shaboozey,,
3,Touch Me,ÁSDÍS,,
2,Forever Young,David Guetta x Alphaville x Ava Max,,
1,Ray Of Light,Nico Santos,,
