Platz,Titel,Interpret,Vorw.,Differenz
1,Simple Life,Leony,,
2,I Don't Wanna Wait,David Guetta x OneRepublic,,
3,So Good,Kamrad,,
4,Magic Moment,Glockenbach x Chris de Sarandy,,
5,Texas Hold Em,Beyoncé,,
6,Love U Again,ClockClock,,
7,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
8,Always On The Run,Isaak,,
9,Stumblin' In,Cyril,,
10,Belong Together,Mark Ambor,,
11,Never Be Lonely,Jax Jones x Zoe Wees,,
12,We Can't Be Friends (Wait For Your Love),Ariana Grande,,
13,Whatever,Kygo x Ava Max,,
14,Training Season,Dua Lipa,,
15,Loyal To Myself,Lena,,
16,Somewhere Close To Heaven,Rea Garvey x Picture This,,
17,Head Down,Lost Frequencies x Bastille,,
18,Fortnight,Taylor Swift feat. Post Malone,,
19,Overdrive,Ofenbach feat. Norma Jean Martini,,
20,Too Sweet,Hozier,,
21,Memory Lane,Zara Larsson,,
22,Illusion,Dua Lipa,,
23,Austin (Boots Stop Workin'),Dasha,,
24,Fire,Meduza x OneRepublic x Leony,,
25,Piano,Kelvin Jones,,
26,Strangers,Kenya Grace,,
27,Lovers In A Past Life,Calvin Harris x Rag'n'Bone Man,,
28,All We Got,Ray Dalton,,
29,My Oh My,Ava Max,,
30,Heard It All,Iggi Kelly,,
31,Electricity,Fast Boy x R3hab,,
32,Am I Enough,Loi,,
33,Gimme Your Hand,Samu Haber,,
34,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
35,Where You Are,Fast Boy x Nico Santos,,
36,Selfish,Justin Timberlake,,
37,Houdini,Dua Lipa,,
38,Know That You're Not Alone,Catburns,,
39,Out My Head,Topic x A7S,,
40,Is It Over Now? (Taylor's Version),Taylor Swift,,
