Platz,Titel,Interpret,Vorw.,Differenz
1,Wave,Fast Boy x Raf,,
2,Human Being,Nico Santos,,
3,Why Why Why,Shawn Mendes,,
4,Woman's World,Katy Perry,,
5,Austin (Boots Stop Workin'),Dasha,,
6,Belong Together,Mark Ambor,,
7,Birds Of A Feather,Billie Eilish,,
8,Feels Like I'm Falling In Love,Coldplay,,
9,Roots,Calum Scott,,
10,Te Imaginaba,Alvaro Soler,,
11,Someday Soon,ClockClock,,
12,Summer's Back,Alok x Jess Glynne,,
13,All In,YouNotUs x Laurell,,
14,Shut Up And Dance,Sophie and the Giants,,
15,Halo,Rea Garvey,,
16,The Way I Want It,Loi,,
17,Beautiful Reason,Michael Schulte,,
18,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
19,Tears To Stay,Ray Dalton,,
20,Better Days,Glockenbach feat. Declan J Donovan,,
21,Blood Sweat Tears,Riku Rajamaa,,
22,Stargazing,Myles Smith,,
23,Good Luck Babe!,Chappel Roan,,
24,Glow In The Dark,Tom Gregory,,
25,Espresso,Sabrina Carpenter,,
26,A Bar Song (Tipsy),Shaboozey,,
27,I Like The Way You Kiss Me,Artemas,,
28,Friends,Kamrad,,
29,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
30,Dancing In The Flames,The Weeknd,,
31,Die With A Smile,Lady Gaga & Bruno Mars,,
32,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
33,Fortnight,Taylor Swift feat. Post Malone,,
34,All Night,R3hab & Sophie and the Giants,,
35,Taste,Sabrina Carpenter,,
36,Flashback,ÁSDÍS,,
37,I Don't Wanna Wait,David Guetta x OneRepublic,,
38,Too Sweet,Hozier,,
39,Spot A Fake,Ava Max,,
40,Illusion,Dua Lipa,,
