Platz,Titel,Interpret,Vorw.,Differenz
40,Stargazing,Myles Smith,,
39,Call My Name,Alle Farben feat. Sofiloud,,
38,Left In Your Love,Loi,,
37,The Emptiness Machine,Linkin Park,,
36,Die With A Smile,Lady Gaga & Bruno Mars,,
35,Crazy For You,Milow,,
34,Nice To Meet You,Myles Smith,,
33,Diet Pepsi,Addison Rae,,
32,Belong Together,Mark Ambor,,
31,All In,YouNotUs x Laurell,,
30,That's So True,Gracie Abrams,,
29,Thee Unknown,Ray Dalton,,
28,Touch Me,ÁSDÍS,,
27,Wreck,Tom Gregory,,
26,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
25,2 Hands,Tate McRae,,
24,Why Why Why,Shawn Mendes,,
23,Shut Up And Dance,Sophie and the Giants,,
22,Austin (Boots Stop Workin'),Dasha,,
21,Halo,Rea Garvey,,
20,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
19,Taste,Sabrina Carpenter,,
18,The Way I Want It,Loi,,
17,Love Is The Only Thing,Lost Frequencies,,
16,Forbidden Road,Robbie Williams,,
15,All My Life,Purple Disco Machine x The Magician,,
14,Dancing In The Flames,The Weeknd,,
13,Broken Sunshine,Michael Schulte,,
12,Better Days,Glockenbach feat. Declan J Donovan,,
11,Human Being,Nico Santos,,
10,Stars Will Align,Kygo x Imagine Dragons,,
9,Spot A Fake,Ava Max,,
8,Friends,Kamrad,,
7,A Bar Song (Tipsy),Shaboozey,,
6,Wave,Fast Boy x Raf,,
5,Bad Dreams,Teddy Swims,,
4,Someday Soon,ClockClock,,
3,Ray Of Light,Nico Santos,,
2,Rock N Roll,Leony x G-Eazy,,
1,Forever Young,David Guetta x Alphaville x Ava Max,,
