Platz,Titel,Interpret,Vorw.,Differenz
1,Lifeline,Glockenbach x Ella Henderson,,
2,The Feeling,Lost Frequencies,,
3,Single Soon,Selena Gomez,,
4,Better Me,Michael Schulte x R3hab,,
5,Greedy,Tate McRae,,
6,Strangers,Kenya Grace,,
7,Seasons,Thirty Seconds To Mars,,
8,Angel Eyes,ÁSDÍS,,
9,Cruel Summer,Taylor Swift,,
10,I Hope You End Up Alone (With Me),Kamrad,,
11,Gimme Love,Sia,,
12,Runaway,OneRepublic,,
13,Paradise,Sophie and The Giants x Purple Disco Machine,,
14,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
15,Overdrive,Ofenbach feat. Norma Jean Martine,,
16,Dive,Lost Frequencies & Tom Gregory,,
17,Runaway,P!nk,,
18,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
19,Changes,Nico Santos & ClockClock,,
20,Dreaming,Marshmello x P!nk x Sting,,
21,Blindside,James Arthur,,
22,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
23,Used To Be Young,Miley Cyrus,,
24,Free Like The Ocean,Rea Garvey,,
25,Coming Home,YouNotUs x Shift K3Y feat. Norma Jean Martine,,
26,O.K.O,Michael Patrick Kelly,,
27,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
28,American Town,Ed Sheeran,,
29,Past Life,Felix Jaehn & Jonas Blue,,
30,Sticks & Stones,Malik Harris,,
31,Somebody Like You,Giant Rooks,,
32,Lightning,Zoe Wees,,
33,Alive,Toby Romeo x Declan J Donovan,,
34,Over,ClockClock,,
35,Waterfall,Michael Schulte x R3hab,,
36,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
37,Jaded,Miley Cyrus,,
38,Dance The Night,Dua Lipa,,
39,Jump!,Only the Poets,,
40,Lay Low,Tiësto,,
