Platz,Titel,Interpret,Vorw.,Differenz
1,Spot A Fake,Ava Max,,
2,Stars Will Align,Kygo x Imagine Dragons,,
3,Wave,Fast Boy x Raf,,
4,Rock N Roll,Leony x G-Eazy,,
5,Friends,Kamrad,,
6,Taste,Sabrina Carpenter,,
7,Bad Dreams,Teddy Swims,,
8,Dancing In The Flames,The Weeknd,,
9,Human Being,Nico Santos,,
10,Someday Soon,ClockClock,,
11,Halo,Rea Garvey,,
12,Better Days,Glockenbach feat. Declan J Donovan,,
13,Die With A Smile,Lady Gaga & Bruno Mars,,
14,The Way I Want It,Loi,,
15,Austin (Boots Stop Workin'),Dasha,,
16,All My Life,Purple Disco Machine x The Magician,,
17,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
18,A Bar Song (Tipsy),Shaboozey,,
19,Shut Up And Dance,Sophie and the Giants,,
20,Ray Of Light,Nico Santos,,
21,All In,YouNotUs x Laurell,,
22,Why Why Why,Shawn Mendes,,
23,Crazy For You,Milow,,
24,Wreck,Tom Gregory,,
25,Belong Together,Mark Ambor,,
26,Woman's World,Katy Perry,,
27,Broken Sunshine,Michael Schulte,,
28,Call My Name,Alle Farben feat. Sofiloud,,
29,Birds Of A Feather,Billie Eilish,,
30,Forever Young,David Guetta x Alphaville & Ava Max,,
31,Feels Like I'm Falling In Love,Coldplay ,,
32,It’s ok I’m ok,Tate McRae,,
33,Thee Unknown,Ray Dalton,,
34,I Like The Way You Kiss Me,Artemas,,
35,APT.,Rosé & Bruno Mars,,
36,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
37,World Gone Wild,Robin Schulz x Cyril feat. Sam Martin,,
38,The Emptiness Machine,Linkin Park,,
39,All Day,Kelvin Jones,,
40,Forbidden Road,Robbie Williams,,
