Platz,Titel,Interpret,Vorw.,Diff.
40,Taste,Sabrina Carpenter,,
39,Messy,Lola Young,,
38,All My Life,Purple Disco Machine x The Magician,,
37,Someone For Me,Kylie Minogue & YouNotUs,,
36,Slow Motion,Marshmello x Jonas Brothers,,
35,Chasing Paradise,Kygo x OneRepublic,,
34,Birds Of A Feather,Billie Eilish,,
33,APT.,Rosé & Bruno Mars,,
32,The Way I Want It,Loi,,
31,Traitor,Zoe Wees,,
30,Belong Together,Mark Ambor,,
29,2 Hands,Tate McRae,,
28,Friends,Kamrad,,
27,Too Sweet,Hozier,,
26,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
25,Nice To Meet You,Myles Smith,,
24,Walk With Me,Felix Jaehn x Shouse,,
23,Austin (Boots Stop Workin'),Dasha,,
22,Stars Will Align,Kygo x Imagine Dragons,,
21,By Your Side (In My Mind),Leony,,
20,Human Being,Nico Santos,,
19,Dancing In The Flames,The Weeknd,,
18,The Emptiness Machine,Linkin Park,,
17,Left In Your Love,Loi,,
16,Better Days,Glockenbach feat. Declan J Donovan,,
15,Thee Unknown,Ray Dalton,,
14,That's So True,Gracie Abrams,,
13,Wave,Fast Boy x Raf,,
12,Houdini,Eminem,,
11,Someday Soon,ClockClock,,
10,Bad Dreams,Teddy Swims,,
9,Love Is The Only Thing,Lost Frequencies,,
8,Spot A Fake,Ava Max,,
7,Forbidden Road,Robbie Williams,,
6,Broken Sunshine,Michael Schulte,,
5,Rock N Roll,Leony x G-Eazy,,
4,Ray Of Light,Nico Santos,,
3,A Bar Song (Tipsy),Shaboozey,,
2,Forever Young,David Guetta x Alphaville x Ava Max,,
1,Touch Me,ÁSDÍS,,
