Platz,Titel,Interpret,Vorw.,Differenz
1,Strangers,Kenya Grace,,
2,Greedy,Tate McRae,,
3,Lifeline,Glockenbach x Ella Henderson,,
4,The Feeling,Lost Frequencies,,
5,Gimme Love,Sia,,
6,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
7,Better Me,Michael Schulte x R3hab,,
8,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
9,Overdrive,Ofenbach feat. Norma Jean Martini,,
10,Cruel Summer,Taylor Swift,,
11,Seasons,Thirty Seconds To Mars,,
12,Angel Eyes,ÁSDÍS,,
13,I Hope You End Up Alone (With Me),Kamrad,,
14,Paradise,Sophie and The Giants x Purple Disco Machine,,
15,Runaway,OneRepublic,,
16,Houdini,Dua Lipa,,
17,Blindside,James Arthur,,
18,Runaway,P!nk,,
19,Free Like The Ocean,Rea Garvey,,
20,Single Soon,Selena Gomez,,
21,Where You Are,Fast Boy x Nico Santos,,
22,Sticks & Stones,Malik Harris,,
23,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
24,Dreaming,Marshmello x P!nk x Sting,,
25,American Town,Ed Sheeran,,
26,Lightning,Zoe Wees,,
27,Past Life,Felix Jaehn & Jonas Blue,,
28,Wanna Dance,Alle Farben & James Carter & VARGEN,,
29,Changes,Nico Santos & ClockClock,,
30,O.K.O,Michael Patrick Kelly,,
31,Dive,Lost Frequencies & Tom Gregory,,
32,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
33,Better Place,*NSYNC x Justin Timberlake,,
34,Alive,Toby Romeo x Declan J Donovan,,
35,Lay Low,Tiësto,,
36,Substitution,Purple Disco Machine x Kungs x Julian Perretta,,
37,Miracle,Tors,,
38,Waterfall,Michael Schulte x R3hab,,
39,Perfect In My Eyes,Rea Garvey,,
40,Jaded,Miley Cyrus,,
