Platz,Titel,Interpret,Vorw.,Diff.
1,Azizam,Ed Sheeran,,
2,Million Good Reasons,Robin Schulz x Fast Boy,,
3,Abracadabra,Lady Gaga,,
4,Nice To Meet You,Myles Smith,,
5,Chasing Paradise,Kygo x OneRepublic,,
6,By Your Side (In My Mind),Leony,,
7,Sorry I'm Here For Someone Else,Benson Boone,,
8,Forever Young,David Guetta x Alphaville x Ava Max,,
9,That's So True,Gracie Abrams,,
10,Ordinary,Alex Warren,,
11,Messy,Lola Young,,
12,Ray Of Light,Nico Santos,,
13,Slow Motion,Marshmello x  Jonas Brothers,,
14,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
15,APT.,Rosé & Bruno Mars,,
16,End Of The World,Miley Cyrus,,
17,Show Me Love,WizTheMc,,
18,Broken Sunshine,Michael Schulte,,
19,Anthem,Glockenbach feat. Norma Jean Martine,,
20,Thee Unknown,Ray Dalton,,
21,Beautiful People,David Guetta & Sia,,
22,Touch Me,ÁSDÍS,,
23,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
24,Traitor,Zoe Wees,,
25,Bad Dreams,Teddy Swims,,
26,A Bar Song (Tipsy),Shaboozey,,
27,Con Calma,Alvaro Soler,,
28,Walk With Me,Felix Jaehn x Shouse,,
29,Born Again ,Fast Boy & ClockClock,,
30,Austin (Boots Stop Workin'),Dasha,,
31,Afterlife,Michael Schulte,,
32,Dancing In The Flames,The Weeknd,,
33,Castaways,Milow feat. Florence Arman,,
34,Better Days,Glockenbach feat. Declan J Donovan,,
35,Born Again ,Lisa x Doja Cat x Raye,,
36,Glide,Neiked x Portugal The Man,,
37,Wave,Fast Boy x Raf,,
38,Rock N Roll,Leony x G-Eazy,,
39,Blink Twice,Shaboozey feat. Myles Smith,,
40,Left In Your Love,Loi,,
