Platz,Titel,Interpret,Vorw.,Diff.
40,Left In Your Love,Loi,,
39,Call Me When You Break Up,Selena Gomez x Benny Blanco x Gracie Abrams,,
38,Guilty,Teddy Swims,,
37,Ordinary,Alex Warren,,
36,Beautiful People,David Guetta & Sia,,
35,Too Sweet,Hozier,,
34,Born Again ,Lisa x Doja Cat x Raye,,
33,Sorry I'm Here For Someone Else,Benson Boone,,
32,Tau mich auf,Zartmann,,
31,Abracadabra,Lady Gaga,,
30,Walk With Me,Felix Jaehn x Shouse,,
29,Forbidden Road,Robbie Williams,,
28,Control Of Me,Topic x  Daecolm,,
27,Castaways,Milow feat. Florence Arman,,
26,The Emptiness Machine,Linkin Park,,
25,Human Being,Nico Santos,,
24,All My Life,Purple Disco Machine x The Magician,,
23,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
22,Austin (Boots Stop Workin'),Dasha,,
21,Dancing In The Flames,The Weeknd,,
20,Broken Sunshine,Michael Schulte,,
19,Love Is The Only Thing,Lost Frequencies,,
18,That's So True,Gracie Abrams,,
17,Rock N Roll,Leony x G-Eazy,,
16,Million Good Reasons,Robin Schulz x Fast Boy,,
15,Traitor,Zoe Wees,,
14,Wave,Fast Boy x Raf,,
13,Slow Motion,Marshmello x  Jonas Brothers,,
12,Bad Dreams,Teddy Swims,,
11,Chasing Paradise,Kygo x OneRepublic,,
10,Messy,Lola Young,,
9,Better Days,Glockenbach feat. Declan J Donovan,,
8,Touch Me,ÁSDÍS,,
7,A Bar Song (Tipsy),Shaboozey,,
6,Someday Soon,ClockClock,,
5,Nice To Meet You,Myles Smith,,
4,Forever Young,David Guetta x  Alphaville & Ava Max,,
3,Thee Unknown,Ray Dalton,,
2,Ray Of Light,Nico Santos,,
1,By Your Side (In My Mind),Leony,,
