Platz,Titel,Interpret,Vorw.,Diff.
1,Azizam,Ed Sheeran,,
2,Million Good Reasons,Robin Schulz x Fast Boy,,
3,Ordinary,Alex Warren,,
4,Sorry I'm Here For Someone Else,Benson Boone,,
5,By Your Side (In My Mind),Leony,,
6,Chasing Paradise,Kygo x OneRepublic,,
7,Nice To Meet You,Myles Smith,,
8,Abracadabra,Lady Gaga,,
9,That's So True,Gracie Abrams,,
10,Slow Motion,Marshmello x  Jonas Brothers,,
11,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
12,Messy,Lola Young,,
13,Forever Young,David Guetta x Alphaville x Ava Max,,
14,End Of The World,Miley Cyrus,,
15,Show Me Love,WizTheMc,,
16,APT.,Rosé & Bruno Mars,,
17,Ray Of Light,Nico Santos,,
18,Anthem,Glockenbach feat. Norma Jean Martine,,
19,Broken Sunshine,Michael Schulte,,
20,Beautiful People,David Guetta & Sia,,
21,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
22,Thee Unknown,Ray Dalton,,
23,Touch Me,ÁSDÍS,,
24,A Bar Song (Tipsy),Shaboozey,,
25,Con Calma,Alvaro Soler,,
26,Walk With Me,Felix Jaehn x Shouse,,
27,Bad Dreams,Teddy Swims,,
28,Traitor,Zoe Wees,,
29,Afterlife,Michael Schulte,,
30,Born Again ,Fast Boy & ClockClock,,
31,Castaways,Milow feat. Florence Arman,,
32,Born Again ,Lisa x Doja Cat x Raye,,
33,Glide,Neiked x Portugal The Man,,
34,Austin (Boots Stop Workin'),Dasha,,
35,Dancing In The Flames,The Weeknd,,
36,Anxiety,Doechii,,
37,Blink Twice,Shaboozey feat. Myles Smith,,
38,Control Of Me,Topic x  Daecolm,,
39,The One,Michael Patrick Kelly,,
40,Better Days,Glockenbach feat. Declan J Donovan,,
