Platz,Titel,Interpret,Vorw.,Differenz
40,Feels Like I'm Falling In Love,Coldplay,,
39,Left In Your Love,Loi,,
38,APT.,Rosé & Bruno Mars,,
37,Woman's World,Katy Perry,,
36,Nice To Meet You,Myles Smith,,
35,Call My Name,Alle Farben feat. Sofiloud,,
34,That's So True,Gracie Abrams,,
33,Crazy For You,Milow,,
32,Touch Me,ÁSDÍS,,
31,Belong Together,Mark Ambor,,
30,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
29,Thee Unknown,Ray Dalton,,
28,Die With A Smile,Lady Gaga & Bruno Mars,,
27,Why Why Why,Shawn Mendes,,
26,All In,YouNotUs x Laurell,,
25,Forbidden Road,Robbie Williams,,
24,2 Hands,Tate McRae,,
23,Love Is The Only Thing,Lost Frequencies,,
22,Wreck,Tom Gregory,,
21,Shut Up And Dance,Sophie and the Giants,,
20,Halo,Rea Garvey,,
19,Austin (Boots Stop Workin'),Dasha,,
18,Better Days,Glockenbach feat. Declan J Donovan,,
17,The Way I Want It,Loi,,
16,Taste,Sabrina Carpenter,,
15,Broken Sunshine,Michael Schulte,,
14,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
13,Dancing In The Flames,The Weeknd,,
12,All My Life,Purple Disco Machine x The Magician,,
11,Stars Will Align,Kygo x Imagine Dragons,,
10,Human Being,Nico Santos,,
9,A Bar Song (Tipsy),Shaboozey,,
8,Someday Soon,ClockClock,,
7,Forever Young,David Guetta x Alphaville x Ava Max,,
6,Bad Dreams,Teddy Swims,,
5,Friends,Kamrad,,
4,Wave,Fast Boy x Raf,,
3,Spot A Fake,Ava Max,,
2,Ray Of Light,Nico Santos,,
1,Rock N Roll,Leony x G-Eazy,,
