Platz,Titel,Interpret,Vorw.,Differenz
1,Summer's Back,Alok x Jess Glynne,,
2,Feels Like I'm Falling In Love,Coldplay,,
3,Austin (Boots Stop Workin'),Dasha,,
4,Belong Together,Mark Ambor,,
5,Shut Up And Dance,Sophie and the Giants,,
6,All In,YouNotUs x Laurell,,
7,Stargazing,Myles Smith,,
8,Woman's World,Katy Perry,,
9,Beautiful Reason,Michael Schulte,,
10,Honey Boy,Purple Disco Machine x Bejamin Ingrosso feat. Nile Rodgers,,
11,The Way I Want It,Loi,,
12,Glow In The Dark,Tom Gregory,,
13,Wave,Fast Boy x Raf,,
14,Te Imaginaba,Alvaro Soler,,
15,I Like The Way You Kiss Me,Artemas,,
16,Birds Of A Feather,Billie Eilish,,
17,I Don't Wanna Wait,David Guetta x OneRepublic,,
18,Espresso,Sabrina Carpenter,,
19,Human Being,Nico Santos,,
20,Fortnight,Taylor Swift feat. Post Malone,,
21,Good Luck Babe!,Chappel Roan,,
22,Flashback,ÁSDÍS,,
23,A Bar Song (Tipsy),Shaboozey,,
24,So Good,Kamrad,,
25,Roots,Calum Scott,,
26,Out My Head,Topic x A7S,,
27,Blood Sweat Tears,Riku Rajamaa,,
28,Only Way Is Up,Robin Schulz feat. Izzy Bizu,,
29,Illusion,Dua Lipa,,
30,Why Why Why,Shawn Mendes,,
31,Someday Soon,ClockClock,,
32,Simple Life,Leony,,
33,Too Sweet,Hozier,,
34,Tears To Stay,Ray Dalton,,
35,Promise,Malik Harris,,
36,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
37,Better Days,Glockenbach feat. Declan J Donovan,,
38,I Can Do It With A Broken Heart,Taylor Swift,,
39,Get Ready,SUPER-Hi x Neeka,,
40,Sleep Alone,Iggi Kelly,,
