Platz,Titel,Interpret,Vorw.,Differenz
1,Houdini,Dua Lipa,,
2,Am I Enough,Loi,,
3,Overdrive,Ofenbach feat. Norma Jean Martini,,
4,Perfect In My Eyes,Rea Garvey,,
5,Is It Over Now? (Taylor's Version),Taylor Swift,,
6,Strangers,Kenya Grace,,
7,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
8,Know That You're Not Alone,Catburns,,
9,Where You Are,Fast Boy x Nico Santos,,
10,Gimme Love,Sia,,
11,Greedy,Tate McRae,,
12,Head Down,Lost Frequencies x Bastille,,
13,Dreaming,Marshmello x P!nk x Sting,,
14,Sticks & Stones,Malik Harris,,
15,Lifeline,Glockenbach x Ella Henderson,,
16,Blindside,James Arthur,,
17,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
18,What Just Happened,The Kid Laroi,,
19,Angel Eyes,ÁSDÍS,,
20,Yes And?,Ariana Grande,,
21,Better Me,Michael Schulte x R3hab,,
22,Cruel Summer,Taylor Swift,,
23,Body Moving,Eliza Rose x Calvin Harris,,
24,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
25,Seasons,Thirty Seconds To Mars,,
26,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
27,Waking Up,Felix Jaehn & Leony,,
28,Memory Lane,Zara Larsson,,
29,Runaway,P!nk,,
30,Stumblin' In,Cyril,,
31,The Feeling,Lost Frequencies,,
32,Single Soon,Selena Gomez,,
33,Free Like The Ocean,Rea Garvey,,
34,Can't Get Enough,Jennifer Lopez,,
35,Somebody Like You,Giant Rooks,,
36,Lose Control,Teddy Swims,,
37,Waterfall,Michael Schulte x R3hab,,
38,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
39,American Town,Ed Sheeran,,
40,I Hope You End Up Alone (With Me),Kamrad,,
