Platz,Titel,Interpret,Vorw.,Differenz
40,Houdini,Eminem,,
39,Stargazing,Myles Smith,,
38,All In,YouNotUs x Laurell,,
37,Left In Your Love,Loi,,
36,Too Sweet,Hozier,,
35,Walk With Me,Felix Jaehn x Shouse,,
34,The Emptiness Machine,Linkin Park,,
33,Nice To Meet You,Myles Smith,,
32,Why Why Why,Shawn Mendes,,
31,Wreck,Tom Gregory,,
30,Diet Pepsi,Addison Rae,,
29,Belong Together,Mark Ambor,,
28,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
27,That's So True,Gracie Abrams,,
26,Thee Unknown,Ray Dalton,,
25,Shut Up And Dance,Sophie and the Giants,,
24,Halo,Rea Garvey,,
23,Touch Me,ÁSDÍS,,
22,2 Hands,Tate McRae,,
21,The Way I Want It,Loi,,
20,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
19,Taste,Sabrina Carpenter,,
18,Austin (Boots Stop Workin'),Dasha,,
17,All My Life,Purple Disco Machine x The Magician,,
16,Dancing In The Flames,The Weeknd,,
15,Spot A Fake,Ava Max,,
14,Human Being,Nico Santos,,
13,Forbidden Road,Robbie Williams,,
12,Love Is The Only Thing,Lost Frequencies,,
11,A Bar Song (Tipsy),Shaboozey,,
10,Broken Sunshine,Michael Schulte,,
9,Better Days,Glockenbach feat. Declan J Donovan,,
8,Stars Will Align,Kygo x Imagine Dragons,,
7,Bad Dreams,Teddy Swims,,
6,Friends,Kamrad,,
5,Someday Soon,ClockClock,,
4,Wave,Fast Boy x Raf,,
3,Ray Of Light,Nico Santos,,
2,Forever Young,David Guetta x Alphaville x Ava Max,,
1,Rock N Roll,Leony x G-Eazy,,
