Platz,Titel,Interpret,Vorw.,Differenz
1,Simple Life,Leony,,
2,Magic Moment,Glockenbach x Chris de Sarandy,,
3,Texas Hold Em,Beyoncé,,
4,Never Be Lonely,Jax Jones x Zoe Wees,,
5,So Good,Kamrad,,
6,I Don't Wanna Wait,David Guetta x OneRepublic,,
7,Love U Again,ClockClock,,
8,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
9,Whatever,Kygo x Ava Max,,
10,We Can't Be Friends (Wait For Your Love),Ariana Grande,,
11,Always On The Run,Isaak,,
12,Stumblin' In,Cyril,,
13,Training Season,Dua Lipa,,
14,Belong Together,Mark Ambor,,
15,Fortnight,Taylor Swift feat. Post Malone,,
16,Head Down,Lost Frequencies x Bastille,,
17,Loyal To Myself,Lena,,
18,Somewhere Close To Heaven,Rea Garvey x Picture This,,
19,Memory Lane,Zara Larsson,,
20,Overdrive,Ofenbach feat. Norma Jean Martini,,
21,Too Sweet,Hozier,,
22,Illusion,Dua Lipa,,
23,All We Got,Ray Dalton,,
24,Lovers In A Past Life,Calvin Harris x Rag'n'Bone Man,,
25,Austin (Boots Stop Workin'),Dasha,,
26,Piano,Kelvin Jones,,
27,Am I Enough,Loi,,
28,Heard It All,Iggi Kelly,,
29,Strangers,Kenya Grace,,
30,My Oh My,Ava Max,,
31,Gimme Your Hand,Samu Haber,,
32,Houdini,Dua Lipa,,
33,Electricity,Fast Boy x R3hab,,
34,Know That You're Not Alone,Catburns,,
35,Selfish,Justin Timberlake,,
36,Fire,Meduza x OneRepublic x Leony,,
37,Is It Over Now? (Taylor's Version),Taylor Swift,,
38,Head Underwater,Tom Walker,,
39,Where You Are,Fast Boy x Nico Santos,,
40,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
