Platz,Titel,Interpret,Vorw.,Differenz
1,Head Down,Lost Frequencies x Bastille,,
2,Am I Enough,Loi,,
3,Overdrive,Ofenbach feat. Norma Jean Martini,,
4,Strangers,Kenya Grace,,
5,Houdini,Dua Lipa,,
6,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
7,Is It Over Now? (Taylor's Version),Taylor Swift,,
8,Where You Are,Fast Boy x Nico Santos,,
9,Stumblin' In,Cyril,,
10,Yes And?,Ariana Grande,,
11,Selfish,Justin Timberlake,,
12,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
13,Gimme Love,Sia,,
14,Whatever,Kygo x Ava Max,,
15,Greedy,Tate McRae,,
16,Know That You're Not Alone,Catburns,,
17,Waking Up,Felix Jaehn & Leony,,
18,Perfect In My Eyes,Rea Garvey,,
19,What Just Happened,The Kid Laroi,,
20,Dreaming,Marshmello x P!nk x Sting,,
21,Sticks & Stones,Malik Harris,,
22,Lose Control,Teddy Swims,,
23,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
24,All We Got,Ray Dalton,,
25,Better Me,Michael Schulte x R3hab,,
26,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
27,Memory Lane,Zara Larsson,,
28,Body Moving,Eliza Rose x Calvin Harris,,
29,Heard It All,Iggi Kelly,,
30,Cruel Summer,Taylor Swift,,
31,Can't Get Enough,Jennifer Lopez,,
32,Blindside,James Arthur,,
33,Lifeline,Glockenbach x Ella Henderson,,
34,Pink Skies,Giant Rooks,,
35,Runaway,P!nk,,
36,Beautiful Things,Benson Boone,,
37,Angel Eyes,ÁSDÍS,,
38,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
39,Single Soon,Selena Gomez,,
40,The Feeling,Lost Frequencies,,
