Platz,Titel,Interpret,Vorw.,Differenz
1,Dancing In The Flames,The Weeknd,,
2,Taste,Sabrina Carpenter,,
3,Spot A Fake,Ava Max,,
4,Friends,Kamrad,,
5,Bad Dreams,Teddy Swims,,
6,Halo,Rea Garvey,,
7,Wave,Fast Boy x Raf,,
8,Human Being,Nico Santos,,
9,Better Days,Glockenbach feat. Declan J Donovan,,
10,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
11,Someday Soon,ClockClock,,
12,Why Why Why,Shawn Mendes,,
13,Stars Will Align,Kygo x Imagine Dragons,,
14,Austin (Boots Stop Workin'),Dasha,,
15,Rock N Roll,Leony x G-Eazy,,
16,The Way I Want It,Loi,,
17,A Bar Song (Tipsy),Shaboozey,,
18,Shut Up And Dance,Sophie and the Giants,,
19,Die With A Smile,Lady Gaga & Bruno Mars,,
20,Woman's World,Katy Perry,,
21,Belong Together,Mark Ambor,,
22,Birds Of A Feather,Billie Eilish,,
23,All My Life,Purple Disco Machine x The Magician,,
24,Wreck,Tom Gregory,,
25,Feels Like I'm Falling In Love,Coldplay ,,
26,All In,YouNotUs x Laurell,,
27,Ray Of Light,Nico Santos,,
28,It’s ok I’m ok,Tate McRae,,
29,Crazy For You,Milow,,
30,I Like The Way You Kiss Me,Artemas,,
31,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
32,Beautiful Reason,Michael Schulte,,
33,Call My Name,Alle Farben feat. Sofiloud,,
34,Te Imaginaba,Alvaro Soler,,
35,Roots,Calum Scott,,
36,Thee Unknown,Ray Dalton,,
37,World Gone Wild,Robin Schulz x Cyril feat. Sam Martin,,
38,Broken Sunshine,Michael Schulte,,
39,Forever Young,David Guetta x Alphaville & Ava Max,,
40,Sink Or Swim,OneRepublic,,
