Platz,Titel,Interpret,Vorw.,Diff.
1,Sorry I'm Here For Someone Else,Benson Boone,,
2,Azizam,Ed Sheeran,,
3,End Of The World,Miley Cyrus,,
4,Anthem,Glockenbach feat. Norma Jean Martine,,
5,Ordinary,Alex Warren,,
6,Nice To Meet You,Myles Smith,,
7,By Your Side (In My Mind),Leony,,
8,Abracadabra,Lady Gaga,,
9,Messy,Lola Young,,
10,Afterlife,Michael Schulte,,
11,Million Good Reasons,Robin Schulz x Fast Boy,,
12,Thee Unknown,Ray Dalton,,
13,Chasing Paradise,Kygo x OneRepublic,,
14,Anxiety,Doechii,,
15,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
16,?,?,,
17,?,?,,
18,?,?,,
19,?,?,,
20,?,?,,
21,?,?,,
22,?,?,,
23,?,?,,
24,Bad Dreams,Teddy Swims,,
25,Forever Young,David Guetta x Alphaville x Ava Max,,
26,Show Me Love,WizTheMc,,
27,Broken Sunshine,Michael Schulte,,
28,Canyons,YouNotUs x Lavinia,,
29,Blink Twice,Shaboozey feat. Myles Smith,,
30,Invincible,OneRepublic,,
31,Glide,Neiked x Portugal The Man,,
32,Austin (Boots Stop Workin'),Dasha,,
33,The One,Michael Patrick Kelly,,
34,Touch Me,ÁSDÍS,,
35,Priceless,Maroon 5 x Lisa,,
36,Walk With Me,Felix Jaehn x Shouse,,
37,Belong Together,Mark Ambor,,
38,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
39,Call Me When You Break Up,Selena Gomez x Benny Blanco x Gracie Abrams,,
40,Stargazing,Myles Smith,,
