Platz,Titel,Interpret,Vorw.,Diff.
40,Lost Your Faith,Ava Max,,
39,Tau mich auf,Zartmann,,
38,Houdini,Eminem,,
37,APT.,Rosé & Bruno Mars,,
36,Control Of Me,Topic x  Daecolm,,
35,Guilty,Teddy Swims,,
34,Rebellion,R3hab x Michael Patrick Kelly x Shaggy,,
33,Human Being,Nico Santos,,
32,Spot A Fake,Ava Max,,
31,Born Again ,Lisa x Doja Cat x Raye,,
30,Castaways,Milow feat. Florence Arman,,
29,Flowers ,Alle Farben x Graham Candy x Lahos,,
28,Too Sweet,Hozier,,
27,Left In Your Love,Loi,,
26,Walk With Me,Felix Jaehn x Shouse,,
25,Forbidden Road,Robbie Williams,,
24,All My Life,Purple Disco Machine x The Magician,,
23,Austin (Boots Stop Workin'),Dasha,,
22,Million Good Reasons,Robin Schulz x Fast Boy,,
21,Dancing In The Flames,The Weeknd,,
20,Slow Motion,Marshmello x Jonas Brothers,,
19,Broken Sunshine,Michael Schulte,,
18,Bad Dreams,Teddy Swims,,
17,Wave,Fast Boy x Raf,,
16,Traitor,Zoe Wees,,
15,The Emptiness Machine,Linkin Park,,
14,Messy,Lola Young,,
13,Better Days,Glockenbach feat. Declan J Donovan,,
12,Love Is The Only Thing,Lost Frequencies,,
11,Thee Unknown,Ray Dalton,,
10,Rock N Roll,Leony x G-Eazy,,
9,A Bar Song (Tipsy),Shaboozey,,
8,Someday Soon,ClockClock,,
7,Touch Me,ÁSDÍS,,
6,That's So True,Gracie Abrams,,
5,Ray Of Light,Nico Santos,,
4,Forever Young,David Guetta x Alphaville x Ava Max,,
3,Nice To Meet You,Myles Smith,,
2,Chasing Paradise,Kygo x OneRepublic,,
1,By Your Side (In My Mind),Leony,,
