Platz,Titel,Interpret,Vorw.,Differenz
1,Dancing In The Flames,The Weeknd,,
2,Friends,Kamrad,,
3,Taste,Sabrina Carpenter,,
4,Halo,Rea Garvey,,
5,Someday Soon,ClockClock,,
6,Wave,Fast Boy x Raf,,
7,Why Why Why,Shawn Mendes,,
8,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
9,Human Being,Nico Santos,,
10,Spot A Fake,Ava Max,,
11,Bad Dreams,Teddy Swims,,
12,Austin (Boots Stop Workin'),Dasha,,
13,Better Days,Glockenbach feat. Declan J Donovan,,
14,The Way I Want It,Loi,,
15,A Bar Song (Tipsy),Shaboozey,,
16,Shut Up And Dance,Sophie and the Giants,,
17,Belong Together,Mark Ambor,,
18,Woman's World,Katy Perry,,
19,Birds Of A Feather,Billie Eilish,,
20,Stars Will Align,Kygo x Imagine Dragons,,
21,Die With A Smile,Lady Gaga & Bruno Mars,,
22,Rock N Roll,Leony x G-Eazy,,
23,Feels Like I'm Falling In Love,Coldplay ,,
24,Wreck,Tom Gregory,,
25,All My Life,Purple Disco Machine x The Magician,,
26,Te Imaginaba,Alvaro Soler,,
27,Roots,Calum Scott,,
28,I Like The Way You Kiss Me,Artemas,,
29,Beautiful Reason,Michael Schulte,,
30,Black Friday (Pretty Like The Sun),Tom Odell x Lost Frequencies,,
31,Ray Of Light,Nico Santos,,
32,It’s ok I’m ok,Tate McRae,,
33,All In,YouNotUs x Laurell,,
34,Crazy For You,Milow,,
35,Call My Name,Alle Farben feat. Sofiloud,,
36,Never Going Home Tonight,David Guetta & Alesso feat. Madison Love,,
37,Sink Or Swim,OneRepublic,,
38,Rain,Chris de Sarandy,,
39,World Gone Wild,Robin Schulz x Cyril feat. Sam Martin,,
40,Stargazing,Myles Smith,,
