Platz,Titel,Interpret,Vorw.,Differenz
1,Houdini,Dua Lipa,,
2,Gimme Love,Sia,,
3,Greedy,Tate McRae,,
4,Overdrive,Ofenbach feat. Norma Jean Martini,,
5,Angel Eyes,ÁSDÍS,,
6,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
7,Where You Are,Fast Boy x Nico Santos,,
8,Strangers,Kenya Grace,,
9,Dreaming,Marshmello x P!nk x Sting,,
10,Better Me,Michael Schulte x R3hab,,
11,Cynical,twocolors x SafriDuo x Chris de Sarandy,,
12,Sticks & Stones,Malik Harris,,
13,Lifeline,Glockenbach x Ella Henderson,,
14,Am I Enough,Loi,,
15,Cruel Summer,Taylor Swift,,
16,The Feeling,Lost Frequencies,,
17,Perfect In My Eyes,Rea Garvey,,
18,Paradise,Sophie and The Giants x Purple Disco Machine,,
19,Blindside,James Arthur,,
20,Wanna Dance,Alle Farben & James Carter & VARGEN,,
21,I Hope You End Up Alone (With Me),Kamrad,,
22,Runaway,P!nk,,
23,American Town,Ed Sheeran,,
24,Mess It Up (Purple Disco Machine Remix),The Rolling Stones x Purple Disco Machine,,
25,Runaway,OneRepublic,,
26,Straitjacket,Lena,,
27,Seasons,Thirty Seconds To Mars,,
28,Is It Over Now? (Taylor's Version),Taylor Swift,,
29,Crazy Again,Gossip,,
30,Single Soon,Selena Gomez,,
31,Free Like The Ocean,Rea Garvey,,
32,Baby Don't Hurt Me,David Guetta x Anne-Marie x Coi Leray,,
33,Know That You're Not Alone,Catburns,,
34,Dive,Lost Frequencies & Tom Gregory,,
35,Past Life,Felix Jaehn & Jonas Blue,,
36,Something On My Mind,Purple Disco Machine x Duke Dumont x Nothing But Thieves,,
37,O.K.O,Michael Patrick Kelly,,
38,Lay Low,Tiësto,,
39,Chemical,Post Malone,,
40,Lightning,Zoe Wees,,
