Platz,Titel,Interpret,Vorw.,Differenz
40,All Day,Kelvin Jones,,
39,The Emptiness Machine,Linkin Park,,
38,Born With A Broken Heart    ,Damiona David,,
37,I Like The Way You Kiss Me,Artemas,,
36,Love Is The Only Thing,Lost Frequencies,,
35,World Gone Wild,Robin Schulz x Cyril feat. Sam Martin,,
34,Feels Like I'm Falling In Love,Coldplay,,
33,APT.,Rosé & Bruno Mars,,
32,Thee Unknown,Ray Dalton,,
31,Forbidden Road,Robbie Williams,,
30,Crazy For You,Milow,,
29,Woman's World,Katy Perry,,
28,Birds Of A Feather,Billie Eilish,,
27,Belong Together,Mark Ambor,,
26,Forever Young,David Guetta x Alphaville x Ava Max,,
25,Call My Name,Alle Farben feat. Sofiloud,,
24,Broken Sunshine,Michael Schulte,,
23,Why Why Why,Shawn Mendes,,
22,All In,YouNotUs x Laurell,,
21,Shut Up And Dance,Sophie and the Giants,,
20,Wreck,Tom Gregory,,
19,Austin (Boots Stop Workin'),Dasha,,
18,Ray Of Light,Nico Santos,,
17,The Way I Want It,Loi,,
16,A Bar Song (Tipsy),Shaboozey,,
15,We Pray,Coldplay x Little Simz x Burna Boy x Elyanna x TINI,,
14,Die With A Smile,Lady Gaga & Bruno Mars,,
13,Better Days,Glockenbach feat. Declan J Donovan,,
12,Human Being,Nico Santos,,
11,All My Life,Purple Disco Machine x The Magician,,
10,Someday Soon,ClockClock,,
9,Taste,Sabrina Carpenter,,
8,Halo,Rea Garvey,,
7,Wave,Fast Boy x Raf,,
6,Dancing In The Flames,The Weeknd,,
5,Friends,Kamrad,,
4,Bad Dreams,Teddy Swims,,
3,Stars Will Align,Kygo x Imagine Dragons,,
2,Rock N Roll,Leony x G-Eazy,,
1,Spot A Fake,Ava Max,,
